species,method,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad
Abax parallelepipedus,Pitfall10,0.9996875260046307,1.4541270121598086e-22,1,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall8,0.744308539982444,0.22844619414285827,0.9662379925475882,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall6,0.7810291431526064,0.2731226856325698,0.9713124299897559,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall4,0.8464499394574857,0.3920072539417955,0.9792233794954954,64,11,6,NA,FALSE
Abax parallelepipedus,Pitfall2,0.8728828029575368,0.4551096227123704,0.9825948368349332,64,11,6,NA,FALSE
Abax parallelepipedus,GPD,0.7159901114298369,0.3294034924461003,0.9282556986940084,64,11,6,NA,FALSE
Agonum muelleri,Pitfall10,0.7221033153872998,0.39463478265625923,0.911952289406233,64,15,6,NA,FALSE
Agonum muelleri,Pitfall8,0.7218687751893169,0.3944291901639035,0.9118336774068564,64,15,6,NA,FALSE
Agonum muelleri,Pitfall6,0.6538192747469055,0.3513900167418849,0.8681471658380242,64,15,6,NA,FALSE
Agonum muelleri,Pitfall4,0.5601365111270009,0.27647730158586914,0.809294941580057,64,15,6,NA,FALSE
Agonum muelleri,Pitfall2,0.5899088813235632,0.3108986120610519,0.8209943681391498,64,15,6,NA,FALSE
Agonum muelleri,GPD,0.9096644246526436,0.5855762404288584,0.9862569200508112,64,15,6,NA,FALSE
Amara aenea,Pitfall10,0.8739893876359088,0.6595848629036434,0.9612818596926466,64,31,6,NA,FALSE
Amara aenea,Pitfall8,0.7230300433763285,0.5103632967159027,0.8673380154280039,64,31,6,NA,FALSE
Amara aenea,Pitfall6,0.5906637136691075,0.3820535345684286,0.7710519632240119,64,31,6,NA,FALSE
Amara aenea,Pitfall4,0.3435478805335383,0.18111005374578917,0.5532469015761672,64,31,6,NA,FALSE
Amara aenea,Pitfall2,0.2894966395891829,0.15009258553255167,0.4845586875696579,64,31,6,NA,FALSE
Amara aenea,GPD,0.6698036711947062,0.4778210565956365,0.8180763364243696,64,31,6,NA,FALSE
Amara convexior,Pitfall10,0.9999999442594709,0,1,64,13,6,NA,FALSE
Amara convexior,Pitfall8,0.9999998151839224,0,1,64,13,6,NA,FALSE
Amara convexior,Pitfall6,0.9256171123180335,0.5709617103284952,0.9914792488862988,64,13,6,NA,FALSE
