site_id,Pitfall10,Pitfall8,Pitfall6,Pitfall4,Pitfall2,GPD
RMQS_25_AILLEVILLE_640,NA,NA,NA,NA,NA,NA
RMQS_25_ALLANCHE_1589,NA,NA,NA,NA,NA,NA
RMQS_25_ALLINGES_1275,NA,NA,NA,NA,NA,NA
RMQS_25_ARFEUILLES_1345,NA,NA,NA,NA,NA,NA
RMQS_25_AVESSAC_831,NA,NA,NA,NA,NA,NA
RMQS_25_AZAY-LE-FERRON_1126,NA,NA,NA,NA,NA,NA
RMQS_25_BAZORDAN_2186,NA,NA,NA,NA,NA,NA
RMQS_25_BEAUCHENE_438,NA,NA,NA,NA,NA,NA
RMQS_25_BESSE_1747,NA,NA,NA,NA,NA,NA
RMQS_25_BETTEVILLE_153,43.82521751757761,34.086280291449256,29.216811678385078,19.477874452256717,9.738937226128359,35.86946861306418
RMQS_25_BEZIERS_2161,NA,NA,NA,NA,NA,NA
RMQS_25_BIOL_1517,NA,NA,NA,NA,NA,NA
RMQS_25_CANET-DE-SALARS_1882,NA,NA,NA,NA,NA,NA
RMQS_25_CARSAC-DE-GURSON_1657,NA,NA,NA,NA,NA,NA
RMQS_25_CASTANET_1878,NA,NA,NA,NA,NA,NA
RMQS_25_CASTELLET-LES-SAUSSES_1948,NA,NA,NA,NA,NA,NA
RMQS_25_CHAMBLAC_325,NA,NA,NA,NA,NA,NA
RMQS_25_CHAMONIX-MONT-BLANC_1402,NA,NA,NA,NA,NA,NA
RMQS_25_CHATEAU-L'EVEQUE_1578,NA,NA,NA,NA,NA,NA
RMQS_25_CHATRES-SUR-CHER_997,NA,NA,NA,NA,NA,NA
RMQS_25_CHAUSSEE-SUR-MARNE_401,NA,NA,NA,NA,NA,NA
RMQS_25_CLEMONT_903,NA,NA,NA,NA,NA,NA
RMQS_25_CUGNEY_970,NA,NA,NA,NA,NA,NA
RMQS_25_DAMBACH-LA-VILLE_10594,NA,NA,NA,NA,NA,NA
RMQS_25_DINGY-SAINT-CLAIR_1399,NA,NA,NA,NA,NA,NA
RMQS_25_DOMPAIRE_647,NA,NA,NA,NA,NA,NA
RMQS_25_EBERSHEIM_594,NA,NA,NA,NA,NA,NA
RMQS_25_EPANNES_1283,NA,NA,NA,NA,NA,NA
RMQS_25_ESPAGNAC_1584,NA,NA,NA,NA,NA,NA
RMQS_25_FONDETTES_946,NA,NA,NA,NA,NA,NA
RMQS_25_GAREIN_1911,NA,NA,NA,NA,NA,NA
RMQS_25_GAS_509,NA,NA,NA,NA,NA,NA
RMQS_25_GEDRE_2269,NA,NA,NA,NA,NA,NA
RMQS_25_HORPS_557,NA,NA,NA,NA,NA,NA
RMQS_25_HOUTAUD_1107,NA,NA,NA,NA,NA,NA
RMQS_25_JOUILLAT_1295,NA,NA,NA,NA,NA,NA
RMQS_25_LAGUIOLE_1756,NA,NA,NA,NA,NA,NA
RMQS_25_LESCOUT_2110,NA,NA,NA,NA,NA,NA
RMQS_25_LITZ_199,NA,NA,NA,NA,NA,NA
RMQS_25_LIVRE-SUR-CHANGEON_612,NA,NA,NA,NA,NA,NA
RMQS_25_LONDE-LES-MAURES_2207,NA,NA,NA,NA,NA,NA
RMQS_25_LUGNY-LES-CHAROLLES_1264,NA,NA,NA,NA,NA,NA
RMQS_25_MALREVERS_1635,NA,NA,NA,NA,NA,NA
RMQS_25_MELLERAY_680,NA,NA,NA,NA,NA,NA
RMQS_25_MONT-PRES-CHAMBORD_899,NA,NA,NA,NA,NA,NA
RMQS_25_MONTPEZAT_2099,NA,NA,NA,NA,NA,NA
RMQS_25_NAIZIN_663,NA,NA,NA,NA,NA,NA
RMQS_25_OUESSANT_418,NA,NA,NA,NA,NA,NA
RMQS_25_PAUILLAC_1571,NA,NA,NA,NA,NA,NA
RMQS_25_PERREUX_803,NA,NA,NA,NA,NA,NA
RMQS_25_POMMERAYE_939,NA,NA,NA,NA,NA,NA
RMQS_25_PRESSAGNY-L'ORGUEILLEUX_277,NA,NA,NA,NA,NA,NA
RMQS_25_RAUVILLE-LA-BIGOT_147,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_412,36.4424747816416,27.3318560862312,22.776546738526,18.2212373908208,9.1106186954104,33.5553093477052
RMQS_25_RHODES_413,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_414,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_415,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_416,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_417,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_418,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_419,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_420,NA,NA,NA,NA,NA,NA
RMQS_25_RHODES_421,NA,NA,NA,NA,NA,NA
RMQS_25_SAILLY-EN-OSTREVENT_53,NA,NA,NA,NA,NA,NA
RMQS_25_SAINT-AGNANT-PRES-CROCQ_1421,NA,NA,NA,NA,NA,NA
RMQS_25_SAINT-GERMAIN_637,NA,NA,NA,NA,NA,NA
RMQS_25_SAINT-GINEIS-EN-COIRON_1764,NA,NA,NA,NA,NA,NA
RMQS_25_SAINT-SAUVEUR-SUR-TINEE_1904,NA,NA,NA,NA,NA,NA
RMQS_25_SALON-DE-PROVENCE_2079,NA,NA,NA,NA,NA,NA
RMQS_25_SANGUINET_1778,NA,NA,NA,NA,NA,NA
RMQS_25_SCEAUX-DU-GATINAIS_688,NA,NA,NA,NA,NA,NA
RMQS_25_SUSVILLE_1685,22.776546738526,22.776546738526,22.776546738526,13.6659280431156,9.1106186954104,33.5553093477052
RMQS_25_THARAUX_1890,NA,NA,NA,NA,NA,NA
RMQS_25_THILLOMBOIS_347,47.12388980384689,37.69911184307752,28.274333882308138,18.84955592153876,9.42477796076938,34.71238898038469
RMQS_25_TRIAIZE_1238,NA,NA,NA,NA,NA,NA
RMQS_25_VOUZIERS_210,37.69911184307752,28.274333882308138,18.84955592153876,14.137166941154069,9.42477796076938,34.71238898038469
RMQS_25_YGRANDE_1216,NA,NA,NA,NA,NA,NA
